Frequency	Permittivity	Loss Factor	Conductivity
(Hz)			(S/m)
1.0900E+6	3.6620E+3	2.0630E+4	1.2500E+0
1.3100E+6	3.1124E+3	1.7651E+4	1.2900E+0
1.5700E+6	2.4752E+3	1.5365E+4	1.3500E+0
1.8900E+6	2.0117E+3	1.2897E+4	1.3600E+0
2.2800E+6	1.6330E+3	1.0648E+4	1.3500E+0
2.7400E+6	1.2525E+3	8.9018E+3	1.3500E+0
3.2900E+6	1.0053E+3	7.4446E+3	1.3600E+0
3.9500E+6	8.5560E+2	6.2289E+3	1.3700E+0
4.7500E+6	7.0300E+2	5.2574E+3	1.3900E+0
5.7200E+6	5.5600E+2	4.4532E+3	1.4200E+0
6.8700E+6	4.4550E+2	3.7758E+3	1.4400E+0
8.2600E+6	3.6320E+2	3.1832E+3	1.4600E+0
9.9300E+6	3.0200E+2	2.6635E+3	1.4700E+0
1.1900E+7	2.4800E+2	2.2347E+3	1.4800E+0
1.4400E+7	2.0410E+2	1.8765E+3	1.5000E+0
1.7300E+7	1.7340E+2	1.5724E+3	1.5100E+0
2.0800E+7	1.4970E+2	1.3149E+3	1.5200E+0
2.5000E+7	1.2880E+2	1.0987E+3	1.5300E+0
3.0000E+7	1.1250E+2	9.1970E+2	1.5300E+0
3.6100E+7	1.0150E+2	7.6900E+2	1.5400E+0
4.3400E+7	9.3000E+1	6.4260E+2	1.5500E+0
5.2100E+7	8.6300E+1	5.3740E+2	1.5600E+0
6.2700E+7	8.1200E+1	4.4900E+2	1.5700E+0
7.5400E+7	7.7600E+1	3.7500E+2	1.5700E+0
9.0600E+7	7.4900E+1	3.1310E+2	1.5800E+0
1.0900E+8	7.0000E+1	2.6140E+2	1.5800E+0
1.3000E+8	6.8000E+1	2.2710E+2	1.6400E+0
1.4400E+8	6.6000E+1	2.0520E+2	1.6400E+0
1.5900E+8	6.4000E+1	1.8610E+2	1.6500E+0
1.7600E+8	6.2000E+1	1.6900E+2	1.6500E+0
1.9400E+8	6.0700E+1	1.5310E+2	1.6600E+0
2.1500E+8	5.9800E+1	1.3900E+2	1.6600E+0
2.3800E+8	5.9300E+1	1.2630E+2	1.6700E+0
2.6300E+8	5.9000E+1	1.1480E+2	1.6800E+0
2.9100E+8	5.8600E+1	1.0440E+2	1.6900E+0
3.2200E+8	5.7900E+1	9.4400E+1	1.6900E+0
3.5600E+8	5.7500E+1	8.5700E+1	1.7000E+0
3.9400E+8	5.7500E+1	7.8000E+1	1.7100E+0
4.3500E+8	5.7300E+1	7.1000E+1	1.7200E+0
4.8100E+8	5.7000E+1	6.4800E+1	1.7300E+0
5.3300E+8	5.6800E+1	5.9200E+1	1.7500E+0
5.8900E+8	5.6500E+1	5.4000E+1	1.7700E+0
6.5100E+8	5.6300E+1	4.9200E+1	1.7800E+0
7.2000E+8	5.6000E+1	4.5100E+1	1.8100E+0
7.9700E+8	5.5700E+1	4.1400E+1	1.8300E+0
8.8100E+8	5.5500E+1	3.8000E+1	1.8600E+0
9.7400E+8	5.5400E+1	3.5000E+1	1.9000E+0
1.0800E+9	5.5200E+1	3.2300E+1	1.9400E+0
1.1900E+9	5.5000E+1	2.9900E+1	1.9800E+0
1.3200E+9	5.4800E+1	2.7800E+1	2.0400E+0
1.4600E+9	5.4600E+1	2.5900E+1	2.1000E+0
1.6100E+9	5.4400E+1	2.4300E+1	2.1800E+0
1.7800E+9	5.4200E+1	2.2900E+1	2.2700E+0
1.9700E+9	5.4000E+1	2.1800E+1	2.3900E+0
2.1800E+9	5.3600E+1	2.0900E+1	2.5300E+0
2.4100E+9	5.3300E+1	2.0100E+1	2.6900E+0
2.6700E+9	5.3100E+1	1.9400E+1	2.8700E+0
2.9500E+9	5.2800E+1	1.8900E+1	3.1000E+0
3.2600E+9	5.2500E+1	1.8600E+1	3.3800E+0
3.6100E+9	5.2100E+1	1.8700E+1	3.7500E+0
3.9900E+9	5.1500E+1	1.8800E+1	4.1700E+0
4.4100E+9	5.0800E+1	1.8800E+1	4.6100E+0
4.8800E+9	5.0100E+1	1.9100E+1	5.1800E+0
5.4000E+9	4.9300E+1	1.9600E+1	5.8800E+0
5.9700E+9	4.8300E+1	2.0000E+1	6.6600E+0
6.6000E+9	4.7100E+1	2.0500E+1	7.5300E+0
7.3000E+9	4.5700E+1	2.0900E+1	8.5100E+0
8.0800E+9	4.4300E+1	2.1400E+1	9.6200E+0
8.9400E+9	4.2800E+1	2.1800E+1	1.0830E+1
9.8800E+9	4.1200E+1	2.2000E+1	1.2090E+1
1.0900E+10	3.9700E+1	2.2200E+1	1.3520E+1
1.2100E+10	3.8000E+1	2.2500E+1	1.5160E+1
1.3400E+10	3.6300E+1	2.2800E+1	1.6970E+1
1.4800E+10	3.4500E+1	2.3100E+1	1.9010E+1
1.6400E+10	3.2700E+1	2.3000E+1	2.0880E+1
1.8100E+10	3.0900E+1	2.2200E+1	2.2300E+1
2.0000E+10	2.9200E+1	2.1100E+1	2.3530E+1
