Frequency	Permittivity	Loss Factor	Conductivity
(Hz)			(S/m)
1.0900E+6	2.0864E+2	5.0297E+2	3.0500E-2
1.3100E+6	1.6092E+2	4.3360E+2	3.1600E-2
1.5700E+6	1.2454E+2	3.6866E+2	3.2200E-2
1.8900E+6	1.1675E+2	3.1765E+2	3.3400E-2
2.2800E+6	1.0768E+2	2.8066E+2	3.5600E-2
2.7400E+6	8.7801E+1	2.3617E+2	3.6000E-2
3.2900E+6	7.5247E+1	1.9997E+2	3.6600E-2
3.9500E+6	6.5199E+1	1.7247E+2	3.7900E-2
4.7500E+6	5.5984E+1	1.4948E+2	3.9500E-2
5.7200E+6	4.8302E+1	1.2947E+2	4.1200E-2
6.8700E+6	4.1202E+1	1.1015E+2	4.2100E-2
8.2600E+6	3.5773E+1	9.2269E+1	4.2400E-2
9.9300E+6	3.3892E+1	7.7838E+1	4.3000E-2
1.1900E+7	3.2060E+1	6.7671E+1	4.4800E-2
1.4400E+7	2.9384E+1	5.8669E+1	4.7000E-2
1.7300E+7	2.7726E+1	5.0600E+1	4.8700E-2
2.0800E+7	2.6079E+1	4.3728E+1	5.0600E-2
2.5000E+7	2.4594E+1	3.7820E+1	5.2600E-2
3.0000E+7	2.3331E+1	3.2894E+1	5.4900E-2
3.6100E+7	2.2070E+1	2.8631E+1	5.7500E-2
4.3400E+7	2.0865E+1	2.4933E+1	6.0200E-2
5.2100E+7	1.9666E+1	2.1494E+1	6.2300E-2
6.2700E+7	1.8641E+1	1.8233E+1	6.3600E-2
7.5400E+7	1.8024E+1	1.5520E+1	6.5100E-2
9.0600E+7	1.7422E+1	1.3392E+1	6.7500E-2
1.0900E+8	1.6633E+1	1.1807E+1	7.1600E-2
1.3100E+8	1.5926E+1	1.0401E+1	7.5800E-2
1.5700E+8	1.5480E+1	9.1020E+0	7.9500E-2
1.8900E+8	1.5035E+1	7.9319E+0	8.3400E-2
2.2800E+8	1.4620E+1	6.9535E+0	8.8200E-2
2.7400E+8	1.4255E+1	6.1273E+0	9.3400E-2
3.2900E+8	1.3906E+1	5.4362E+0	9.9500E-2
3.9500E+8	1.3621E+1	4.8920E+0	1.0750E-1
4.7500E+8	1.3332E+1	4.3746E+0	1.1560E-1
5.7200E+8	1.3086E+1	3.9564E+0	1.2590E-1
6.8700E+8	1.2883E+1	3.6159E+0	1.3820E-1
7.2000E+8	1.2850E+1	3.7986E+0	1.5216E-1
7.9700E+8	1.2759E+1	3.6064E+0	1.5990E-1
8.8100E+8	1.2641E+1	3.4565E+0	1.6941E-1
9.7400E+8	1.2484E+1	3.3642E+0	1.8229E-1
1.0800E+9	1.2436E+1	3.2831E+0	1.9726E-1
1.1900E+9	1.2409E+1	3.1814E+0	2.1061E-1
1.3200E+9	1.2269E+1	3.0927E+0	2.2711E-1
1.4600E+9	1.2152E+1	3.0455E+0	2.4737E-1
1.6100E+9	1.2064E+1	3.0298E+0	2.7137E-1
1.7800E+9	1.1940E+1	3.0163E+0	2.9869E-1
1.9700E+9	1.1851E+1	3.0086E+0	3.2973E-1
2.1800E+9	1.1778E+1	3.0290E+0	3.6735E-1
2.4100E+9	1.1670E+1	3.0526E+0	4.0928E-1
2.6700E+9	1.1549E+1	3.0919E+0	4.5926E-1
2.9500E+9	1.1419E+1	3.1575E+0	5.1819E-1
3.2600E+9	1.1299E+1	3.2530E+0	5.8997E-1
3.6100E+9	1.1143E+1	3.3748E+0	6.7777E-1
3.9900E+9	1.0960E+1	3.5126E+0	7.7971E-1
4.4100E+9	1.0765E+1	3.6616E+0	8.9834E-1
4.8800E+9	1.0518E+1	3.8253E+0	1.0385E+0
5.4000E+9	1.0207E+1	3.9637E+0	1.1908E+0
5.9700E+9	9.8731E+0	4.0655E+0	1.3503E+0
6.6000E+9	9.5209E+0	4.1454E+0	1.5221E+0
7.3000E+9	9.1576E+0	4.1911E+0	1.7021E+0
8.0800E+9	8.8067E+0	4.1981E+0	1.8871E+0
8.9400E+9	8.4414E+0	4.1571E+0	2.0675E+0
9.8800E+9	8.1147E+0	4.0661E+0	2.2349E+0
1.0900E+10	7.8511E+0	3.9604E+0	2.4016E+0
1.2100E+10	7.5892E+0	3.8363E+0	2.5824E+0
1.3400E+10	7.3488E+0	3.6142E+0	2.6943E+0
1.4800E+10	7.2034E+0	3.3827E+0	2.7852E+0
1.6400E+10	7.0359E+0	3.2881E+0	3.0000E+0
1.8100E+10	6.8401E+0	3.2370E+0	3.2595E+0
2.0000E+10	6.6870E+0	3.1505E+0	3.5054E+0
