Frequency	Permittivity	Loss Factor	Conductivity
(Hz)			(S/m)
1.0000E+1	5.2597E+7	6.1629E+7	3.4286E-2
1.1220E+1	4.9227E+7	5.8261E+7	3.6366E-2
1.2589E+1	4.5576E+7	5.5526E+7	3.8888E-2
1.3500E+1	4.1979E+7	5.2892E+7	4.1563E-2
1.5848E+1	3.8341E+7	5.0279E+7	4.4329E-2
1.7782E+1	3.4743E+7	4.7674E+7	4.7162E-2
1.9952E+1	3.1281E+7	4.5106E+7	5.0067E-2
2.2387E+1	2.8001E+7	4.2649E+7	5.3116E-2
2.5118E+1	2.4913E+7	4.0214E+7	5.6194E-2
2.8183E+1	2.1768E+7	3.8812E+7	6.0853E-2
3.1622E+1	1.9184E+7	3.6344E+7	6.3938E-2
3.5481E+1	1.6754E+7	3.3834E+7	6.6786E-2
3.9810E+1	1.4574E+7	3.1368E+7	6.9472E-2
4.4668E+1	1.2626E+7	2.9031E+7	7.2143E-2
5.0118E+1	1.0891E+7	2.6785E+7	7.4681E-2
5.6234E+1	9.3462E+6	2.4621E+7	7.7027E-2
6.3095E+1	7.9960E+6	2.2562E+7	7.9196E-2
7.0794E+1	6.8411E+6	2.0659E+7	8.1366E-2
7.9432E+1	5.8511E+6	1.8894E+7	8.3491E-2
8.9125E+1	4.9878E+6	1.7223E+7	8.5395E-2
1.0000E+2	4.2395E+6	1.5663E+7	8.7136E-2
1.1220E+2	3.6026E+6	1.4220E+7	8.8759E-2
1.2589E+2	3.0550E+6	1.2886E+7	9.0250E-2
1.4125E+2	2.5872E+6	1.1656E+7	9.1593E-2
1.5849E+2	2.1930E+6	1.0537E+7	9.2906E-2
1.7783E+2	1.8579E+6	9.5090E+6	9.4072E-2
1.9953E+2	1.5717E+6	8.5653E+6	9.5076E-2
2.2387E+2	1.3302E+6	7.7084E+6	9.6005E-2
2.5119E+2	1.1306E+6	6.9409E+6	9.6994E-2
2.8184E+2	9.6103E+5	6.2407E+6	9.7850E-2
3.1623E+2	8.1786E+5	5.6082E+6	9.8662E-2
3.5481E+2	6.9486E+5	5.0327E+6	9.9341E-2
3.9811E+2	5.9503E+5	4.5240E+6	1.0020E-1
4.4668E+2	5.1004E+5	4.0623E+6	1.0095E-1
5.0119E+2	4.3620E+5	3.6422E+6	1.0155E-1
5.6234E+2	3.7503E+5	3.2664E+6	1.0219E-1
6.3096E+2	3.2286E+5	2.9284E+6	1.0279E-1
7.0795E+2	2.7820E+5	2.6227E+6	1.0330E-1
7.9433E+2	2.4037E+5	2.3502E+6	1.0386E-1
8.9125E+2	2.0837E+5	2.1059E+6	1.0442E-1
1.0000E+3	1.8121E+5	1.8873E+6	1.0499E-1
1.1220E+3	1.5814E+5	1.6912E+6	1.0557E-1
1.2589E+3	1.3764E+5	1.5143E+6	1.0606E-1
1.4125E+3	1.2082E+5	1.3573E+6	1.0666E-1
1.5849E+3	1.0657E+5	1.2172E+6	1.0732E-1
1.7783E+3	9.4107E+4	1.0899E+6	1.0783E-1
1.9953E+3	8.2924E+4	9.7499E+5	1.0822E-1
2.2387E+3	7.3091E+4	8.7263E+5	1.0868E-1
2.5119E+3	6.5091E+4	7.8185E+5	1.0926E-1
2.8184E+3	5.7658E+4	6.9965E+5	1.0970E-1
3.1623E+3	5.1408E+4	6.2667E+5	1.1025E-1
3.5481E+3	4.5958E+4	5.6166E+5	1.1087E-1
3.9811E+3	4.1175E+4	5.0358E+5	1.1153E-1
4.4668E+3	3.7092E+4	4.5101E+5	1.1208E-1
5.0119E+3	3.3208E+4	4.0355E+5	1.1252E-1
5.6234E+3	2.9959E+4	3.6127E+5	1.1302E-1
6.3096E+3	2.6975E+4	3.2341E+5	1.1352E-1
7.0795E+3	2.4426E+4	2.8977E+5	1.1413E-1
7.9433E+3	2.2076E+4	2.5933E+5	1.1460E-1
8.9125E+3	2.0059E+4	2.3238E+5	1.1522E-1
1.0000E+4	1.8209E+4	2.0798E+5	1.1571E-1
1.1220E+4	1.6578E+4	1.8645E+5	1.1638E-1
1.2589E+4	1.5185E+4	1.6719E+5	1.1709E-1
1.4125E+4	1.3851E+4	1.4976E+5	1.1768E-1
1.5849E+4	1.2688E+4	1.3436E+5	1.1846E-1
1.7783E+4	1.1690E+4	1.2057E+5	1.1928E-1
1.9953E+4	1.0671E+4	1.0820E+5	1.2010E-1
2.2387E+4	9.9176E+3	9.7355E+4	1.2125E-1
2.5119E+4	9.1395E+3	8.7443E+4	1.2220E-1
2.8184E+4	8.4848E+3	7.8968E+4	1.2382E-1
3.1623E+4	7.8751E+3	7.1185E+4	1.2523E-1
3.5481E+4	7.3336E+3	6.3749E+4	1.2584E-1
3.9811E+4	6.7021E+3	5.6842E+4	1.2589E-1
4.4668E+4	6.1857E+3	5.0939E+4	1.2658E-1
5.0119E+4	5.7227E+3	4.5674E+4	1.2735E-1
5.6234E+4	5.3281E+3	4.1055E+4	1.2844E-1
6.3096E+4	4.9336E+3	3.6841E+4	1.2932E-1
7.0795E+4	4.6091E+3	3.3119E+4	1.3044E-1
7.9433E+4	4.2863E+3	2.9747E+4	1.3145E-1
8.9125E+4	3.9885E+3	2.6713E+4	1.3245E-1
1.0000E+5	3.7190E+3	2.3998E+4	1.3351E-1
1.1220E+5	3.4812E+3	2.1588E+4	1.3476E-1
1.2589E+5	3.2467E+3	1.9406E+4	1.3591E-1
1.4125E+5	3.0419E+3	1.7469E+4	1.3728E-1
1.5849E+5	2.8401E+3	1.5747E+4	1.3885E-1
1.7783E+5	2.6681E+3	1.4220E+4	1.4068E-1
1.9953E+5	2.5037E+3	1.2824E+4	1.4235E-1
2.2387E+5	2.3455E+3	1.1555E+4	1.4391E-1
2.5119E+5	2.1932E+3	1.0411E+4	1.4549E-1
2.8184E+5	2.0532E+3	9.3981E+3	1.4736E-1
3.1623E+5	1.9216E+3	8.4938E+3	1.4943E-1
3.5481E+5	1.8067E+3	7.6920E+3	1.5183E-1
3.9811E+5	1.6908E+3	6.9506E+3	1.5394E-1
4.4668E+5	1.5833E+3	6.2834E+3	1.5614E-1
5.0119E+5	1.4808E+3	5.6870E+3	1.5857E-1
5.6234E+5	1.3861E+3	5.1554E+3	1.6128E-1
6.3096E+5	1.3017E+3	4.6881E+3	1.6456E-1
7.0795E+5	1.2141E+3	4.2456E+3	1.6721E-1
7.9433E+5	1.1366E+3	3.8611E+3	1.7062E-1
8.9125E+5	1.0623E+3	3.5104E+3	1.7405E-1
1.0000E+6	9.9142E+2	3.1859E+3	1.7724E-1
1.1220E+6	9.2676E+2	2.8962E+3	1.8078E-1
1.2589E+6	8.6463E+2	2.6265E+3	1.8395E-1
1.4125E+6	8.0766E+2	2.3865E+3	1.8754E-1
1.5849E+6	7.5498E+2	2.1685E+3	1.9120E-1
1.7783E+6	7.0520E+2	1.9778E+3	1.9566E-1
1.9953E+6	6.6115E+2	1.7983E+3	1.9961E-1
2.2387E+6	6.3428E+2	1.6429E+3	2.0462E-1
2.5119E+6	5.8650E+2	1.5083E+3	2.1078E-1
2.8184E+6	5.4418E+2	1.3771E+3	2.1591E-1
3.1623E+6	5.0676E+2	1.2589E+3	2.2147E-1
3.5481E+6	4.7195E+2	1.1520E+3	2.2739E-1
3.9811E+6	4.4090E+2	1.0528E+3	2.3317E-1
4.4668E+6	4.1147E+2	9.6322E+2	2.3936E-1
5.0119E+6	3.8320E+2	8.8185E+2	2.4588E-1
5.6234E+6	3.5732E+2	8.0895E+2	2.5308E-1
6.3096E+6	3.3318E+2	7.4044E+2	2.5991E-1
7.0795E+6	3.1139E+2	6.7801E+2	2.6703E-1
7.9433E+6	2.8929E+2	6.2294E+2	2.7528E-1
8.9125E+6	2.7000E+2	5.6970E+2	2.8247E-1
1.0000E+7	2.6500E+2	5.2120E+2	2.8996E-1
1.0892E+7	2.6000E+2	4.9507E+2	3.0000E-1
1.1943E+7	2.5500E+2	4.8161E+2	3.2000E-1
1.3095E+7	2.5000E+2	4.6669E+2	3.4000E-1
1.4359E+7	2.4500E+2	4.5066E+2	3.6000E-1
1.5744E+7	2.4000E+2	4.3384E+2	3.8000E-1
1.7263E+7	2.3764E+2	4.1649E+2	4.0000E-1
1.8929E+7	2.2336E+2	3.8398E+2	4.0436E-1
2.0755E+7	2.1337E+2	3.6309E+2	4.1924E-1
2.2757E+7	2.0120E+2	3.3913E+2	4.2935E-1
2.4953E+7	1.8763E+2	3.1954E+2	4.4358E-1
2.7360E+7	1.8016E+2	2.9934E+2	4.5563E-1
3.0000E+7	1.7071E+2	2.7790E+2	4.6381E-1
3.2894E+7	1.6163E+2	2.6243E+2	4.8024E-1
3.6068E+7	1.5458E+2	2.4453E+2	4.9067E-1
3.9548E+7	1.4644E+2	2.3084E+2	5.0788E-1
4.3363E+7	1.3911E+2	2.1747E+2	5.2463E-1
4.7547E+7	1.3135E+2	2.0294E+2	5.3681E-1
5.2134E+7	1.2369E+2	1.9057E+2	5.5271E-1
5.7164E+7	1.1815E+2	1.7830E+2	5.6703E-1
6.2679E+7	1.1146E+2	1.6707E+2	5.8256E-1
6.8726E+7	1.0582E+2	1.5623E+2	5.9733E-1
7.5357E+7	1.0032E+2	1.4609E+2	6.1243E-1
8.2627E+7	9.5173E+1	1.3630E+2	6.2656E-1
9.0599E+7	9.0734E+1	1.2694E+2	6.3981E-1
9.9339E+7	8.6594E+1	1.1866E+2	6.5579E-1
1.0892E+8	8.3370E+1	1.1089E+2	6.7193E-1
1.1943E+8	7.9846E+1	1.0352E+2	6.8779E-1
1.3095E+8	7.6705E+1	9.6556E+1	7.0344E-1
1.4359E+8	7.3689E+1	9.0263E+1	7.2105E-1
1.5744E+8	7.0984E+1	8.3735E+1	7.3342E-1
1.7263E+8	6.8660E+1	7.7490E+1	7.4421E-1
1.8929E+8	6.6663E+1	7.2057E+1	7.5879E-1
2.0755E+8	6.4515E+1	6.6901E+1	7.7247E-1
2.2757E+8	6.2526E+1	6.2218E+1	7.8770E-1
2.4953E+8	6.0890E+1	5.7640E+1	8.0016E-1
2.7360E+8	5.9521E+1	5.3404E+1	8.1288E-1
3.0000E+8	5.8305E+1	4.9453E+1	8.2535E-1
3.2894E+8	5.7053E+1	4.5844E+1	8.3895E-1
3.6068E+8	5.5981E+1	4.2404E+1	8.5085E-1
3.9548E+8	5.5079E+1	3.9316E+1	8.6500E-1
4.3363E+8	5.4268E+1	3.6373E+1	8.7746E-1
4.7547E+8	5.3893E+1	3.3632E+1	8.8963E-1
5.2134E+8	5.3029E+1	3.1555E+1	9.1520E-1
5.7164E+8	5.2278E+1	2.9265E+1	9.3066E-1
6.2679E+8	5.1652E+1	2.7102E+1	9.4505E-1
6.8726E+8	5.1596E+1	2.5545E+1	9.7668E-1
7.5357E+8	5.0860E+1	2.3093E+1	9.6813E-1
8.2627E+8	5.0472E+1	2.2464E+1	1.0326E+0
9.0599E+8	5.1911E+1	1.9985E+1	1.0073E+0
9.9339E+8	4.9874E+1	2.0351E+1	1.1247E+0
1.0892E+9	5.0854E+1	1.8190E+1	1.1023E+0
1.1943E+9	5.0329E+1	1.8461E+1	1.2266E+0
1.3095E+9	4.8850E+1	1.8190E+1	1.3252E+0
1.4359E+9	4.8166E+1	1.7041E+1	1.3613E+0
1.5744E+9	4.7593E+1	1.6452E+1	1.4410E+0
1.7263E+9	4.7904E+1	1.5434E+1	1.4823E+0
1.8929E+9	4.7657E+1	1.5002E+1	1.5797E+0
2.0755E+9	4.7291E+1	1.5117E+1	1.7455E+0
