Frequency	Permittivity	Loss Factor	Conductivity
(Hz)			(S/m)
1.0900E+6	1.6180E+3	2.3378E+3	1.4000E-1
1.3100E+6	1.4367E+3	2.0777E+3	1.5000E-1
1.5700E+6	1.2880E+3	1.9112E+3	1.7000E-1
1.8900E+6	1.2013E+3	1.7086E+3	1.8000E-1
2.2800E+6	1.1002E+3	1.4962E+3	1.9000E-1
2.7400E+6	9.5010E+2	1.3245E+3	2.0000E-1
3.2900E+6	8.3680E+2	1.1730E+3	2.1000E-1
3.9500E+6	7.5440E+2	1.0391E+3	2.3000E-1
4.7500E+6	6.7770E+2	9.3250E+2	2.5000E-1
5.7200E+6	6.0180E+2	8.4650E+2	2.7000E-1
6.8700E+6	5.3060E+2	7.6590E+2	2.9000E-1
8.2600E+6	4.6830E+2	6.9110E+2	3.2000E-1
9.9300E+6	4.1340E+2	6.1470E+2	3.4000E-1
1.1900E+7	3.6470E+2	5.4800E+2	3.6000E-1
1.4400E+7	3.2130E+2	4.9140E+2	3.9000E-1
1.7300E+7	2.8520E+2	4.3850E+2	4.2000E-1
2.0800E+7	2.5170E+2	3.9050E+2	4.5000E-1
2.5000E+7	2.2150E+2	3.4670E+2	4.8000E-1
3.0000E+7	1.9490E+2	3.0800E+2	5.1000E-1
3.6100E+7	1.7180E+2	2.7290E+2	5.5000E-1
4.3400E+7	1.5150E+2	2.4060E+2	5.8000E-1
5.2100E+7	1.3390E+2	2.1170E+2	6.1000E-1
6.2700E+7	1.1890E+2	1.8540E+2	6.5000E-1
7.5400E+7	1.0610E+2	1.6160E+2	6.8000E-1
9.0600E+7	9.5300E+1	1.4050E+2	7.1000E-1
1.0900E+8	8.6200E+1	1.2200E+2	7.4000E-1
1.3000E+8	7.1700E+1	1.0510E+2	7.6000E-1
1.4400E+8	6.8800E+1	9.7000E+1	7.8000E-1
1.5900E+8	6.6100E+1	8.9300E+1	7.9000E-1
1.7600E+8	6.3600E+1	8.2100E+1	8.0000E-1
1.9400E+8	6.1900E+1	7.5300E+1	8.2000E-1
2.1500E+8	6.0400E+1	6.9100E+1	8.3000E-1
2.3800E+8	5.8900E+1	6.3400E+1	8.4000E-1
2.6300E+8	5.7500E+1	5.8100E+1	8.5000E-1
2.9100E+8	5.6300E+1	5.3300E+1	8.6000E-1
3.2200E+8	5.5200E+1	4.8800E+1	8.7000E-1
3.5600E+8	5.4400E+1	4.4700E+1	8.8000E-1
3.9400E+8	5.3600E+1	4.1000E+1	9.0000E-1
4.3500E+8	5.2900E+1	3.7600E+1	9.1000E-1
4.8100E+8	5.2200E+1	3.4500E+1	9.2000E-1
5.3300E+8	5.1600E+1	3.1700E+1	9.4000E-1
5.8900E+8	5.1200E+1	2.9200E+1	9.6000E-1
6.5100E+8	5.0900E+1	2.7000E+1	9.8000E-1
7.2000E+8	5.0500E+1	2.5100E+1	1.0000E+0
7.9700E+8	5.0100E+1	2.3200E+1	1.0300E+0
8.8100E+8	4.9800E+1	2.1500E+1	1.0600E+0
9.7400E+8	4.9500E+1	2.0100E+1	1.0900E+0
1.0800E+9	4.9200E+1	1.8800E+1	1.1300E+0
1.1900E+9	4.9000E+1	1.7600E+1	1.1700E+0
1.3200E+9	4.8700E+1	1.6600E+1	1.2200E+0
1.4600E+9	4.8500E+1	1.5800E+1	1.2800E+0
1.6100E+9	4.8200E+1	1.5100E+1	1.3500E+0
1.7800E+9	4.8000E+1	1.4500E+1	1.4300E+0
1.9700E+9	4.7800E+1	1.4000E+1	1.5300E+0
2.1800E+9	4.7500E+1	1.3600E+1	1.6600E+0
2.4100E+9	4.7300E+1	1.3400E+1	1.8000E+0
2.6700E+9	4.7000E+1	1.3300E+1	1.9700E+0
2.9500E+9	4.6700E+1	1.3300E+1	2.1800E+0
3.2600E+9	4.6400E+1	1.3300E+1	2.4200E+0
3.6100E+9	4.6000E+1	1.3500E+1	2.7200E+0
3.9900E+9	4.5700E+1	1.3900E+1	3.0900E+0
4.4100E+9	4.5200E+1	1.4300E+1	3.5200E+0
4.8800E+9	4.4600E+1	1.4900E+1	4.0400E+0
5.4000E+9	4.3800E+1	1.5500E+1	4.6500E+0
5.9700E+9	4.3000E+1	1.6200E+1	5.3700E+0
6.6000E+9	4.2000E+1	1.6800E+1	6.1800E+0
7.3000E+9	4.0900E+1	1.7500E+1	7.1000E+0
8.0800E+9	3.9700E+1	1.8000E+1	8.1100E+0
8.9400E+9	3.8500E+1	1.8500E+1	9.2000E+0
9.8800E+9	3.7100E+1	1.8900E+1	1.0400E+1
1.0900E+10	3.5800E+1	1.9400E+1	1.1800E+1
1.2100E+10	3.4600E+1	2.0000E+1	1.3460E+1
1.3400E+10	3.3300E+1	2.0600E+1	1.5330E+1
1.4800E+10	3.1900E+1	2.1200E+1	1.7430E+1
1.6400E+10	3.0100E+1	2.2100E+1	2.0060E+1
1.8100E+10	2.8200E+1	2.3000E+1	2.3150E+1
2.0000E+10	2.6400E+1	2.3800E+1	2.6510E+1
