Frequency	Permittivity	Loss Factor	Conductivity
(Hz)			(S/m)
1.3000E+8	7.2400E+1	3.1448E+2	2.2700E+0
1.4400E+8	7.3390E+1	2.8472E+2	2.2800E+0
1.5900E+8	7.4060E+1	2.5848E+2	2.2900E+0
1.7600E+8	7.2840E+1	2.3431E+2	2.2900E+0
1.9400E+8	7.1330E+1	2.1132E+2	2.2900E+0
2.1500E+8	7.0530E+1	1.9042E+2	2.2800E+0
2.3800E+8	7.0140E+1	1.7269E+2	2.2900E+0
2.6300E+8	6.9670E+1	1.5674E+2	2.2900E+0
2.9100E+8	6.9220E+1	1.4196E+2	2.3000E+0
3.2200E+8	6.9200E+1	1.2852E+2	2.3000E+0
3.5600E+8	6.9080E+1	1.1633E+2	2.3000E+0
3.9400E+8	6.9020E+1	1.0546E+2	2.3100E+0
4.3500E+8	6.8970E+1	9.5670E+1	2.3200E+0
4.8100E+8	6.8730E+1	8.6750E+1	2.3200E+0
5.3300E+8	6.8590E+1	7.8720E+1	2.3300E+0
5.8900E+8	6.8530E+1	7.1590E+1	2.3500E+0
6.5100E+8	6.8510E+1	6.5110E+1	2.3600E+0
7.2000E+8	6.8410E+1	5.9260E+1	2.3700E+0
7.9700E+8	6.8370E+1	5.4100E+1	2.4000E+0
8.8100E+8	6.8330E+1	4.9420E+1	2.4200E+0
9.7400E+8	6.8150E+1	4.5210E+1	2.4500E+0
1.0800E+9	6.7940E+1	4.1490E+1	2.4900E+0
1.1900E+9	6.7730E+1	3.8140E+1	2.5300E+0
1.3200E+9	6.7670E+1	3.5260E+1	2.5900E+0
1.4600E+9	6.7710E+1	3.2720E+1	2.6500E+0
1.6100E+9	6.7660E+1	3.0470E+1	2.7300E+0
1.7800E+9	6.7420E+1	2.8570E+1	2.8300E+0
1.9700E+9	6.7140E+1	2.6800E+1	2.9400E+0
2.1800E+9	6.7010E+1	2.5260E+1	3.0700E+0
2.4100E+9	6.6860E+1	2.4040E+1	3.2300E+0
2.6700E+9	6.6600E+1	2.3030E+1	3.4200E+0
2.9500E+9	6.6390E+1	2.2260E+1	3.6500E+0
3.2600E+9	6.6170E+1	2.1770E+1	3.9500E+0
3.6100E+9	6.5750E+1	2.1500E+1	4.3200E+0
3.9900E+9	6.5130E+1	2.1350E+1	4.7400E+0
4.4100E+9	6.4480E+1	2.1390E+1	5.2500E+0
4.8800E+9	6.3770E+1	2.1530E+1	5.8500E+0
5.4000E+9	6.3040E+1	2.1870E+1	6.5700E+0
5.9700E+9	6.2140E+1	2.2460E+1	7.4600E+0
6.6000E+9	6.0870E+1	2.2930E+1	8.4300E+0
7.3000E+9	5.9360E+1	2.3220E+1	9.4400E+0
8.0800E+9	5.7670E+1	2.3430E+1	1.0530E+1
8.9400E+9	5.5830E+1	2.3730E+1	1.1800E+1
9.8800E+9	5.4000E+1	2.4320E+1	1.3370E+1
1.0900E+10	5.2090E+1	2.4890E+1	1.5130E+1
1.2100E+10	4.9730E+1	2.4770E+1	1.6660E+1
1.3400E+10	4.7560E+1	2.4850E+1	1.8480E+1
1.4800E+10	4.5410E+1	2.5250E+1	2.0770E+1
1.6400E+10	4.2930E+1	2.4810E+1	2.2570E+1
1.8100E+10	4.0900E+1	2.4740E+1	2.4890E+1
2.0000E+10	3.9200E+1	2.5580E+1	2.8460E+1
