Frequency	Permittivity	Loss Factor	Conductivity
(Hz)			(S/m)
1.3000E+8	6.0240E+1	8.9380E+1	6.5000E-1
1.4400E+8	5.8330E+1	8.3260E+1	6.7000E-1
1.5900E+8	5.8000E+1	7.6390E+1	6.8000E-1
1.7600E+8	5.7110E+1	7.0070E+1	6.9000E-1
1.9400E+8	5.5800E+1	6.4390E+1	7.0000E-1
2.1500E+8	5.5240E+1	5.9600E+1	7.1000E-1
2.3800E+8	5.4790E+1	5.5040E+1	7.3000E-1
2.6300E+8	5.4150E+1	4.9830E+1	7.3000E-1
2.9100E+8	5.3270E+1	4.5680E+1	7.4000E-1
3.2200E+8	5.2700E+1	4.2450E+1	7.6000E-1
3.5600E+8	5.2230E+1	3.9020E+1	7.7000E-1
3.9400E+8	5.1670E+1	3.5630E+1	7.8000E-1
4.3500E+8	5.1030E+1	3.2830E+1	8.0000E-1
4.8100E+8	5.0360E+1	3.0410E+1	8.1000E-1
5.3300E+8	5.0130E+1	2.8250E+1	8.4000E-1
5.8900E+8	4.9960E+1	2.6010E+1	8.5000E-1
6.5100E+8	4.9590E+1	2.3880E+1	8.7000E-1
7.2000E+8	4.9120E+1	2.2140E+1	8.9000E-1
7.9700E+8	4.8630E+1	2.0700E+1	9.2000E-1
8.8100E+8	4.8460E+1	1.9690E+1	9.7000E-1
9.7400E+8	4.8210E+1	1.8640E+1	1.0100E+0
1.0800E+9	4.7750E+1	1.7690E+1	1.0600E+0
1.1900E+9	4.7470E+1	1.6870E+1	1.1200E+0
1.3200E+9	4.7210E+1	1.6040E+1	1.1800E+0
1.4600E+9	4.6840E+1	1.5160E+1	1.2300E+0
1.6100E+9	4.6510E+1	1.4590E+1	1.3100E+0
1.7800E+9	4.6170E+1	1.4380E+1	1.4300E+0
1.9700E+9	4.5830E+1	1.4110E+1	1.5500E+0
2.1800E+9	4.5340E+1	1.3690E+1	1.6600E+0
2.4100E+9	4.4840E+1	1.3520E+1	1.8100E+0
2.6700E+9	4.4350E+1	1.3580E+1	2.0200E+0
2.9500E+9	4.3960E+1	1.3650E+1	2.2400E+0
3.2600E+9	4.3610E+1	1.3710E+1	2.4900E+0
3.6100E+9	4.3210E+1	1.3850E+1	2.7800E+0
3.9900E+9	4.2660E+1	1.4170E+1	3.1500E+0
4.4100E+9	4.2020E+1	1.4450E+1	3.5500E+0
4.8800E+9	4.1410E+1	1.4780E+1	4.0200E+0
5.4000E+9	4.0690E+1	1.5240E+1	4.5800E+0
5.9700E+9	3.9870E+1	1.5720E+1	5.2200E+0
6.6000E+9	3.8930E+1	1.6210E+1	5.9600E+0
7.3000E+9	3.7920E+1	1.6770E+1	6.8100E+0
8.0800E+9	3.6850E+1	1.7340E+1	7.7900E+0
8.9400E+9	3.5650E+1	1.7850E+1	8.8700E+0
9.8800E+9	3.4480E+1	1.8210E+1	1.0010E+1
1.0900E+10	3.3340E+1	1.8610E+1	1.1320E+1
1.2100E+10	3.1900E+1	1.9090E+1	1.2840E+1
1.3400E+10	3.0270E+1	1.9630E+1	1.4600E+1
1.4800E+10	2.8620E+1	2.0020E+1	1.6470E+1
1.6400E+10	2.7020E+1	2.0280E+1	1.8450E+1
1.8100E+10	2.5360E+1	2.0720E+1	2.0850E+1
2.0000E+10	2.3540E+1	2.1240E+1	2.3640E+1
