Frequency	Permittivity	Loss Factor	Conductivity
(Hz)			(S/m)
1.0900E+6	9.3520E+2	1.9485E+3	1.2000E-1
1.3100E+6	7.8970E+2	1.6962E+3	1.2000E-1
1.5700E+6	6.6640E+2	1.5082E+3	1.3000E-1
1.8900E+6	6.1380E+2	1.3181E+3	1.4000E-1
2.2800E+6	5.6010E+2	1.1388E+3	1.4000E-1
2.7400E+6	4.6900E+2	9.7880E+2	1.5000E-1
3.2900E+6	4.0470E+2	8.4220E+2	1.5000E-1
3.9500E+6	3.6060E+2	7.2940E+2	1.6000E-1
4.7500E+6	3.2050E+2	6.3900E+2	1.7000E-1
5.7200E+6	2.8110E+2	5.6340E+2	1.8000E-1
6.8700E+6	2.4590E+2	4.9480E+2	1.9000E-1
8.2600E+6	2.1580E+2	4.3300E+2	2.0000E-1
9.9300E+6	1.9180E+2	3.7450E+2	2.1000E-1
1.1900E+7	1.7120E+2	3.2600E+2	2.2000E-1
1.4400E+7	1.5240E+2	2.8570E+2	2.3000E-1
1.7300E+7	1.3780E+2	2.4960E+2	2.4000E-1
2.0800E+7	1.2440E+2	2.1820E+2	2.5000E-1
2.5000E+7	1.1220E+2	1.9070E+2	2.6000E-1
3.0000E+7	1.0170E+2	1.6720E+2	2.8000E-1
3.6100E+7	9.2400E+1	1.4660E+2	2.9000E-1
4.3400E+7	8.3800E+1	1.2820E+2	3.1000E-1
5.2100E+7	7.6200E+1	1.1210E+2	3.2000E-1
6.2700E+7	6.9700E+1	9.7700E+1	3.4000E-1
7.5400E+7	6.4100E+1	8.4900E+1	3.6000E-1
9.0600E+7	5.9300E+1	7.3900E+1	3.7000E-1
1.0900E+8	5.4800E+1	6.4500E+1	3.9000E-1
1.3000E+8	4.5700E+1	5.3800E+1	3.9000E-1
1.4400E+8	4.4800E+1	4.9800E+1	4.0000E-1
1.5900E+8	4.3700E+1	4.6100E+1	4.1000E-1
1.7600E+8	4.2400E+1	4.2500E+1	4.2000E-1
1.9400E+8	4.1200E+1	3.9200E+1	4.2000E-1
2.1500E+8	4.0400E+1	3.6200E+1	4.3000E-1
2.3800E+8	3.9600E+1	3.3400E+1	4.4000E-1
2.6300E+8	3.8800E+1	3.0900E+1	4.5000E-1
2.9100E+8	3.8000E+1	2.8500E+1	4.6000E-1
3.2200E+8	3.7400E+1	2.6300E+1	4.7000E-1
3.5600E+8	3.6800E+1	2.4200E+1	4.8000E-1
3.9400E+8	3.6200E+1	2.2300E+1	4.9000E-1
4.3500E+8	3.5700E+1	2.0600E+1	5.0000E-1
4.8100E+8	3.5100E+1	1.9000E+1	5.1000E-1
5.3300E+8	3.4700E+1	1.7600E+1	5.2000E-1
5.8900E+8	3.4400E+1	1.6300E+1	5.3000E-1
6.5100E+8	3.4200E+1	1.5200E+1	5.5000E-1
7.2000E+8	3.4000E+1	1.4200E+1	5.7000E-1
7.9700E+8	3.3700E+1	1.3200E+1	5.8000E-1
8.8100E+8	3.3400E+1	1.2300E+1	6.0000E-1
9.7400E+8	3.3200E+1	1.1500E+1	6.3000E-1
1.0800E+9	3.3000E+1	1.0900E+1	6.5000E-1
1.1900E+9	3.2800E+1	1.0300E+1	6.8000E-1
1.3200E+9	3.2600E+1	9.8000E+0	7.2000E-1
1.4600E+9	3.2400E+1	9.3000E+0	7.5000E-1
1.6100E+9	3.2300E+1	8.9000E+0	8.0000E-1
1.7800E+9	3.2100E+1	8.7000E+0	8.6000E-1
1.9700E+9	3.2000E+1	8.4000E+0	9.3000E-1
2.1800E+9	3.1800E+1	8.3000E+0	1.0100E+0
2.4100E+9	3.1600E+1	8.2000E+0	1.1000E+0
2.6700E+9	3.1400E+1	8.2000E+0	1.2200E+0
2.9500E+9	3.1200E+1	8.2000E+0	1.3500E+0
3.2600E+9	3.0900E+1	8.3000E+0	1.5100E+0
3.6100E+9	3.0600E+1	8.5000E+0	1.7000E+0
3.9900E+9	3.0300E+1	8.7000E+0	1.9300E+0
4.4100E+9	3.0000E+1	9.0000E+0	2.2000E+0
4.8800E+9	2.9600E+1	9.3000E+0	2.5400E+0
5.4000E+9	2.9000E+1	9.7000E+0	2.9200E+0
5.9700E+9	2.8400E+1	1.0100E+1	3.3700E+0
6.6000E+9	2.7700E+1	1.0500E+1	3.8600E+0
7.3000E+9	2.6900E+1	1.0800E+1	4.4000E+0
8.0800E+9	2.6100E+1	1.1100E+1	4.9700E+0
8.9400E+9	2.5200E+1	1.1200E+1	5.5700E+0
9.8800E+9	2.4200E+1	1.1300E+1	6.1900E+0
1.0900E+10	2.3400E+1	1.1300E+1	6.8600E+0
1.2100E+10	2.2700E+1	1.1300E+1	7.6000E+0
1.3400E+10	2.2000E+1	1.1300E+1	8.3800E+0
1.4800E+10	2.1400E+1	1.1300E+1	9.2700E+0
1.6400E+10	2.0700E+1	1.1500E+1	1.0470E+1
1.8100E+10	2.0100E+1	1.1900E+1	1.1990E+1
2.0000E+10	1.9600E+1	1.2300E+1	1.3730E+1
