Frequency	Permittivity	Loss Factor	Conductivity
(Hz)			(S/m)
9.9339E+5	3.3479E+2	6.8395E+2	3.7799E-2
1.0892E+6	3.0890E+2	6.1795E+2	3.7446E-2
1.1943E+6	2.9501E+2	5.9688E+2	3.9659E-2
1.3095E+6	3.1438E+2	5.4834E+2	3.9948E-2
1.4359E+6	2.7098E+2	4.8448E+2	3.8702E-2
1.5744E+6	2.5717E+2	4.8251E+2	4.2263E-2
1.7263E+6	2.4580E+2	4.6428E+2	4.4589E-2
1.8929E+6	2.3504E+2	4.1458E+2	4.3658E-2
2.0755E+6	2.1075E+2	3.8107E+2	4.4000E-2
2.2757E+6	2.1814E+2	3.7564E+2	4.7557E-2
2.4953E+6	1.9055E+2	3.6178E+2	5.0222E-2
2.7360E+6	1.7404E+2	3.1932E+2	4.8604E-2
3.0000E+6	1.7273E+2	3.2208E+2	5.3755E-2
3.2894E+6	1.6134E+2	2.7941E+2	5.1132E-2
3.6068E+6	1.5344E+2	2.8629E+2	5.7445E-2
3.9548E+6	1.3559E+2	2.5348E+2	5.5769E-2
4.3363E+6	1.2327E+2	2.4360E+2	5.8766E-2
4.7547E+6	1.1907E+2	2.2177E+2	5.8662E-2
5.2134E+6	1.1018E+2	2.0584E+2	5.9701E-2
5.7164E+6	1.0859E+2	1.9913E+2	6.3328E-2
6.2679E+6	1.0281E+2	1.8301E+2	6.3815E-2
6.8726E+6	9.8599E+1	1.7346E+2	6.6322E-2
7.5357E+6	9.0841E+1	1.5884E+2	6.6591E-2
8.2627E+6	8.3419E+1	1.4707E+2	6.7604E-2
9.0599E+6	8.0198E+1	1.3519E+2	6.8137E-2
9.9339E+6	7.7774E+1	1.2844E+2	7.0983E-2
1.0892E+7	7.5292E+1	1.2016E+2	7.2815E-2
1.1943E+7	7.2415E+1	1.1113E+2	7.3838E-2
1.3095E+7	6.7828E+1	1.0485E+2	7.6390E-2
1.4359E+7	6.4974E+1	9.8691E+1	7.8836E-2
1.5744E+7	6.2893E+1	9.1844E+1	8.0446E-2
1.7263E+7	6.0160E+1	8.6206E+1	8.2792E-2
1.8929E+7	5.8270E+1	8.0090E+1	8.4340E-2
2.0755E+7	5.5527E+1	7.5377E+1	8.7034E-2
2.2757E+7	5.3559E+1	7.0729E+1	8.9546E-2
