Frequency	Permittivity	Loss Factor	Conductivity
(Hz)			(S/m)
1.0000E+1	3.3217E+7	4.4483E+7	2.4747E-2
1.1220E+1	3.0577E+7	4.3225E+7	2.6981E-2
1.2589E+1	2.8140E+7	4.1705E+7	2.9209E-2
1.3500E+1	2.5306E+7	3.9867E+7	3.1328E-2
1.5848E+1	2.2581E+7	3.7754E+7	3.3287E-2
1.7782E+1	1.9950E+7	3.5661E+7	3.5278E-2
1.9952E+1	1.7484E+7	3.3441E+7	3.7119E-2
2.2387E+1	1.5274E+7	3.1315E+7	3.9001E-2
2.5118E+1	1.3252E+7	2.9160E+7	4.0748E-2
2.8183E+1	1.1424E+7	2.7049E+7	4.2410E-2
3.1622E+1	9.7908E+6	2.4995E+7	4.3971E-2
3.5481E+1	8.3425E+6	2.3023E+7	4.5445E-2
3.9810E+1	7.1052E+6	2.1133E+7	4.6803E-2
4.4668E+1	6.0091E+6	1.9322E+7	4.8014E-2
5.0118E+1	5.0773E+6	1.7621E+7	4.9132E-2
5.6234E+1	4.2788E+6	1.6048E+7	5.0206E-2
6.3095E+1	3.6059E+6	1.4572E+7	5.1151E-2
7.0794E+1	3.0294E+6	1.3188E+7	5.1939E-2
7.9432E+1	2.5439E+6	1.1926E+7	5.2699E-2
8.9125E+1	2.1375E+6	1.0766E+7	5.3381E-2
1.0000E+2	1.7866E+6	9.7008E+6	5.3968E-2
1.1220E+2	1.4955E+6	8.7559E+6	5.4655E-2
1.2589E+2	1.2520E+6	7.8835E+6	5.5214E-2
1.4125E+2	1.0502E+6	7.1057E+6	5.5838E-2
1.5849E+2	8.8171E+5	6.3824E+6	5.6275E-2
1.7783E+2	7.4406E+5	5.7327E+6	5.6713E-2
1.9953E+2	6.2241E+5	5.1374E+6	5.7026E-2
2.2387E+2	5.2775E+5	4.6166E+6	5.7498E-2
2.5119E+2	4.4615E+5	4.1321E+6	5.7744E-2
2.8184E+2	3.7829E+5	3.7017E+6	5.8040E-2
3.1623E+2	3.2228E+5	3.3155E+6	5.8328E-2
3.5481E+2	2.7459E+5	2.9732E+6	5.8688E-2
3.9811E+2	2.3708E+5	2.6660E+6	5.9045E-2
