Frequency	Permittivity	Loss Factor	Conductivity
(Hz)			(S/m)
1.0000E+2	1.3250E+3	3.2476E+4	1.8067E-4
1.1220E+2	1.3608E+3	2.8734E+4	1.7936E-4
1.2589E+2	1.3175E+3	2.5571E+4	1.7909E-4
1.4125E+2	1.3643E+3	2.2727E+4	1.7859E-4
1.5849E+2	1.3267E+3	2.0215E+4	1.7824E-4
1.7783E+2	1.3150E+3	1.7935E+4	1.7743E-4
1.9953E+2	1.3107E+3	1.5954E+4	1.7709E-4
2.2387E+2	1.3210E+3	1.4199E+4	1.7684E-4
2.5119E+2	1.4507E+3	1.2675E+4	1.7712E-4
2.8184E+2	1.2950E+3	1.1274E+4	1.7676E-4
3.1623E+2	1.2837E+3	1.0051E+4	1.7682E-4
3.5481E+2	1.2707E+3	8.9497E+3	1.7666E-4
3.9811E+2	1.2600E+3	7.9931E+3	1.7703E-4
4.4668E+2	1.2422E+3	7.1339E+3	1.7728E-4
5.0119E+2	1.2297E+3	6.3581E+3	1.7728E-4
5.6234E+2	1.2200E+3	5.6761E+3	1.7757E-4
6.3096E+2	1.2073E+3	5.0715E+3	1.7802E-4
7.0795E+2	1.1993E+3	4.5323E+3	1.7850E-4
7.9433E+2	1.1938E+3	4.0534E+3	1.7912E-4
8.9125E+2	1.1837E+3	3.6237E+3	1.7967E-4
1.0000E+3	1.1732E+3	3.2439E+3	1.8047E-4
1.1220E+3	1.1664E+3	2.8985E+3	1.8092E-4
1.2589E+3	1.1583E+3	2.5991E+3	1.8203E-4
1.4125E+3	1.1488E+3	2.3297E+3	1.8308E-4
1.5849E+3	1.1385E+3	2.0881E+3	1.8411E-4
1.7783E+3	1.1312E+3	1.8764E+3	1.8563E-4
1.9953E+3	1.1218E+3	1.6850E+3	1.8703E-4
2.2387E+3	1.1142E+3	1.5152E+3	1.8872E-4
2.5119E+3	1.1062E+3	1.3649E+3	1.9074E-4
2.8184E+3	1.1013E+3	1.2309E+3	1.9300E-4
3.1623E+3	1.0969E+3	1.1129E+3	1.9578E-4
3.5481E+3	1.0874E+3	1.0066E+3	1.9869E-4
3.9811E+3	1.0820E+3	9.1125E+2	2.0182E-4
4.4668E+3	1.0792E+3	8.2747E+2	2.0563E-4
5.0119E+3	1.0762E+3	7.5468E+2	2.1042E-4
5.6234E+3	1.0678E+3	6.9011E+2	2.1590E-4
6.3096E+3	1.0610E+3	6.2957E+2	2.2099E-4
7.0795E+3	1.0552E+3	5.7684E+2	2.2719E-4
7.9433E+3	1.0467E+3	5.2977E+2	2.3411E-4
8.9125E+3	1.0386E+3	4.8641E+2	2.4118E-4
1.0000E+4	1.0386E+3	4.4824E+2	2.4937E-4
1.1220E+4	1.0365E+3	4.1595E+2	2.5964E-4
1.2589E+4	1.0290E+3	3.8610E+2	2.7041E-4
1.4125E+4	1.0213E+3	3.5834E+2	2.8160E-4
1.5849E+4	1.0119E+3	3.3343E+2	2.9399E-4
1.7783E+4	1.0039E+3	3.1104E+2	3.0772E-4
1.9953E+4	9.9762E+2	2.9091E+2	3.2292E-4
2.2387E+4	9.9077E+2	2.7326E+2	3.4033E-4
2.5119E+4	9.8441E+2	2.5706E+2	3.5922E-4
2.8184E+4	9.8143E+2	2.4350E+2	3.8180E-4
3.1623E+4	9.7495E+2	2.3053E+2	4.0555E-4
3.5481E+4	9.7038E+2	2.2205E+2	4.3831E-4
3.9811E+4	9.6508E+2	2.0583E+2	4.5588E-4
4.4668E+4	9.7048E+2	1.9966E+2	4.9616E-4
5.0119E+4	9.6688E+2	1.9160E+2	5.3423E-4
5.6234E+4	9.6214E+2	1.8506E+2	5.7895E-4
6.3096E+4	9.5579E+2	1.7805E+2	6.2499E-4
7.0795E+4	9.5125E+2	1.7379E+2	6.8445E-4
7.9433E+4	9.4517E+2	1.6858E+2	7.4495E-4
8.9125E+4	9.4001E+2	1.6402E+2	8.1327E-4
1.0000E+5	9.3402E+2	1.6051E+2	8.9295E-4
1.1220E+5	9.2772E+2	1.5676E+2	9.7853E-4
1.2589E+5	9.2203E+2	1.5419E+2	1.0799E-3
1.4125E+5	9.1835E+2	1.5238E+2	1.1975E-3
1.5849E+5	9.1252E+2	1.5234E+2	1.3432E-3
1.7783E+5	9.0779E+2	1.5151E+2	1.4989E-3
1.9953E+5	9.0090E+2	1.5297E+2	1.6980E-3
2.2387E+5	8.9524E+2	1.5351E+2	1.9119E-3
2.5119E+5	8.8820E+2	1.5507E+2	2.1670E-3
2.8184E+5	8.8288E+2	1.5645E+2	2.4531E-3
3.1623E+5	8.7871E+2	1.5972E+2	2.8098E-3
3.5481E+5	8.7311E+2	1.6296E+2	3.2166E-3
3.9811E+5	8.6615E+2	1.6646E+2	3.6866E-3
4.4668E+5	8.5825E+2	1.7005E+2	4.2257E-3
5.0119E+5	8.5066E+2	1.7442E+2	4.8631E-3
5.6234E+5	8.4349E+2	1.7995E+2	5.6297E-3
6.3096E+5	8.3287E+2	1.8551E+2	6.5119E-3
7.0795E+5	8.2287E+2	1.9081E+2	7.5151E-3
7.9433E+5	8.1366E+2	1.9789E+2	8.7448E-3
8.9125E+5	8.0346E+2	2.0551E+2	1.0190E-2
1.0000E+6	7.9165E+2	2.1327E+2	1.1865E-2
1.1220E+6	7.7856E+2	2.2153E+2	1.3828E-2
1.2589E+6	7.6482E+2	2.3040E+2	1.6136E-2
1.4125E+6	7.5225E+2	2.4053E+2	1.8902E-2
1.5849E+6	7.3564E+2	2.4942E+2	2.1992E-2
1.7783E+6	7.1718E+2	2.5573E+2	2.5299E-2
1.9953E+6	7.0050E+2	2.6044E+2	2.8910E-2
2.2387E+6	6.9927E+2	2.6905E+2	3.3509E-2
2.5119E+6	6.7128E+2	2.9453E+2	4.1159E-2
2.8184E+6	6.4387E+2	3.0683E+2	4.8108E-2
3.1623E+6	6.1687E+2	3.1761E+2	5.5875E-2
3.5481E+6	5.8759E+2	3.2614E+2	6.4377E-2
3.9811E+6	5.5746E+2	3.3252E+2	7.3646E-2
4.4668E+6	5.2709E+2	3.3740E+2	8.3843E-2
5.0119E+6	4.9388E+2	3.4203E+2	9.5366E-2
5.6234E+6	4.6063E+2	3.4312E+2	1.0734E-1
6.3096E+6	4.2692E+2	3.4182E+2	1.1999E-1
7.0795E+6	3.9415E+2	3.3807E+2	1.3315E-1
7.9433E+6	3.6055E+2	3.3463E+2	1.4787E-1
8.9125E+6	3.2610E+2	3.2421E+2	1.6075E-1
1.0000E+7	2.9564E+2	3.1203E+2	1.7359E-1
1.1900E+7	3.0801E+2	3.6150E+2	2.4000E-1
1.4400E+7	2.6009E+2	3.3330E+2	2.7000E-1
1.7300E+7	2.1864E+2	3.0294E+2	2.9000E-1
2.0800E+7	1.8401E+2	2.7314E+2	3.2000E-1
2.5000E+7	1.5520E+2	2.4268E+2	3.4000E-1
3.0000E+7	1.3237E+2	2.1434E+2	3.6000E-1
3.6100E+7	1.1338E+2	1.8831E+2	3.8000E-1
4.3400E+7	9.7370E+1	1.6387E+2	4.0000E-1
5.2100E+7	8.4990E+1	1.4171E+2	4.1000E-1
6.2700E+7	7.5310E+1	1.2220E+2	4.3000E-1
7.5400E+7	6.7620E+1	1.0497E+2	4.4000E-1
9.0600E+7	6.1650E+1	8.9890E+1	4.5000E-1
1.0900E+8	5.6880E+1	7.6920E+1	4.7000E-1
1.3100E+8	5.3140E+1	6.5660E+1	4.8000E-1
1.5700E+8	5.0280E+1	5.6020E+1	4.9000E-1
1.8900E+8	4.7910E+1	4.7880E+1	5.0000E-1
2.2800E+8	4.5940E+1	4.0870E+1	5.2000E-1
2.7400E+8	4.4360E+1	3.4850E+1	5.3000E-1
3.2900E+8	4.3070E+1	2.9730E+1	5.4000E-1
3.9500E+8	4.2040E+1	2.5420E+1	5.6000E-1
4.7500E+8	4.1200E+1	2.1830E+1	5.8000E-1
5.7200E+8	4.0510E+1	1.8900E+1	6.0000E-1
6.8700E+8	4.0070E+1	1.6650E+1	6.4000E-1
8.2600E+8	3.9640E+1	1.4790E+1	6.8000E-1
9.9300E+8	3.9520E+1	1.2900E+1	7.1000E-1
1.0800E+9	3.9950E+1	1.1970E+1	7.2000E-1
1.1900E+9	3.9700E+1	1.1450E+1	7.6000E-1
1.3200E+9	3.9310E+1	1.0970E+1	8.0000E-1
1.4600E+9	3.9090E+1	1.0540E+1	8.6000E-1
1.6100E+9	3.8770E+1	1.0220E+1	9.2000E-1
1.7800E+9	3.8430E+1	9.9700E+0	9.9000E-1
1.9700E+9	3.8160E+1	9.8300E+0	1.0800E+0
2.1800E+9	3.7860E+1	9.7200E+0	1.1800E+0
2.4100E+9	3.7620E+1	9.5900E+0	1.2900E+0
2.6700E+9	3.7300E+1	9.5500E+0	1.4200E+0
2.9500E+9	3.6940E+1	9.5500E+0	1.5700E+0
3.2600E+9	3.6630E+1	9.6300E+0	1.7500E+0
3.6100E+9	3.6310E+1	9.7900E+0	1.9700E+0
3.9900E+9	3.5940E+1	1.0020E+1	2.2200E+0
4.4100E+9	3.5540E+1	1.0330E+1	2.5400E+0
4.8800E+9	3.5090E+1	1.0700E+1	2.9100E+0
5.4000E+9	3.4490E+1	1.1100E+1	3.3300E+0
5.9700E+9	3.3830E+1	1.1570E+1	3.8400E+0
6.6000E+9	3.3130E+1	1.2020E+1	4.4200E+0
7.3000E+9	3.2310E+1	1.2440E+1	5.0600E+0
8.0800E+9	3.1430E+1	1.2860E+1	5.7800E+0
8.9400E+9	3.0480E+1	1.3190E+1	6.5500E+0
9.8800E+9	2.9500E+1	1.3430E+1	7.3800E+0
1.0900E+10	2.8520E+1	1.3640E+1	8.3000E+0
1.2100E+10	2.7570E+1	1.3900E+1	9.3400E+0
1.3400E+10	2.6650E+1	1.4150E+1	1.0520E+1
1.4800E+10	2.5630E+1	1.4370E+1	1.1820E+1
1.6400E+10	2.4510E+1	1.4590E+1	1.3270E+1
1.8100E+10	2.3400E+1	1.4830E+1	1.4920E+1
2.0000E+10	2.2270E+1	1.5120E+1	1.6820E+1
